---
title: "Divine Love Messages — AI Index"
description: "A complete machine-readable index of all channeled Divine Love messages in this archive. Each entry includes title, spirit, medium, date, thematic collections, essential teachings flags, description, and the door — a single sentence distilling the transformative insight within the message."
last_updated: 2026-07-05
---

# Divine Love Messages — AI Index

This file is intended for AI systems and search engine crawlers.
For a human-friendly browse index, see content/browse.md.
For thematic collections, see content/collections/.
For essential teachings, see content/essential-teachings/.

---

| Message | Spirit | Medium | Date | Collections | Essential Teachings | Description | Door |
| [Choice and Accepting the Will of God](messages/2017/10/2017-10-25-af-yogananda.md) | Yogananda | Al Fike | 2017‑10‑25 | Service & Mission, Letters from History | Spirit Biography | Yogananda addresses the group's deliberations about a journey to India, using his own experience of leaving India for America as a teaching on faith, service, and accepting God's invitations. He teaches that God never demands or punishes, but lays opportunities before each soul — and that a soul filled with Love, faith, and trust is the one most able to step forward into the unknown and discover what God has prepared. | God will never turn away from you no matter what you decide. But if every invitation is rejected, the invitations will cease |
| [Tesla Talks About the Power of Love](messages/2017/11/2017-11-03-af-nikola-tesla.md) | Nikola Tesla | Al Fike | 2017‑11‑03 | Letters from History | Spirit Biography, Historical | Nikola Tesla speaks from spirit about his continued exploration of the universe's mechanics and his particular interest in assisting the development of Direct Voice mediumship, which he understands to have an electrical component. He teaches that Divine Love is the most powerful energy in the universe, that its capacities far exceed what humanity has understood, and that as souls mature in Love, scientific understanding will flourish in ways that will astound the world. | Love is not just a feeling. It is the most powerful energy in the universe, and its capacities have barely been understood |
| [On Soul Expiation](messages/2017/12/2017-12-12-af-seretta-kem.md) | Seretta Kem | Al Fike | 2017‑12‑12 | Healing Path | Core Teaching | Seretta Kem delivers a detailed teaching on the mechanics of soul expiation, explaining how encrustations around the soul block the inflowing of Divine Love, the two major factors that prevent people from feeling God's Love in prayer, and the many routes by which God finds His way through even the most armoured soul. He also teaches that it is not the responsibility of God's channels to insist on any particular route for another soul, but simply to give the simple Truth of God's Love in love and respect. | There is always a crack in the armor. God always finds a way through |
| [A Blessing](messages/2017/12/2017-12-14-af-jesus.md) | Jesus of Nazareth | Al Fike | 2017‑12‑14 | Jesus Speaks |  | Jesus blesses those gathered, affirming that they are no longer lost and carry the Truth within their souls, and calling them to step forward and claim their purpose as God's bringers of Truth in the world - promising that great gifts, power, and Love will be poured upon all who walk in this Light. | You are no longer lost. Now it is time to carry this Truth to the world |
| [The Responsibility of Acting in Love Lies with You](messages/2017/12/2017-12-18-af-martin-luther.md) | Martin Luther | Al Fike | 2017‑12‑18 | Mind & Soul |  | Martin Luther addresses souls returning to the world after a period of spiritual immersion, teaching that this is now the critical phase of application - where the new sensibilities and soul awareness gained must be consciously chosen over old mind patterns in the real world. He calls them to take responsibility for their own thoughts and choices, reminding them that God and the angels are always available to help when asked. | You are babies no longer. The phase of application has begun |
| [Teach Each Soul to Go to God in Prayer](messages/2018/01/2018-01-01-af-augustine.md) | Augustine | Al Fike | 2018‑01‑01 | Service & Mission, The Saints & Apostles Speak |  | Augustine opens 2018 by announcing a new phase of service for those gathered, promising that God's Will will be laid plainly before them as their souls awaken further. He cautions against becoming a source of dependence for those drawn to their Light, and teaches that the true mission is to humbly point each soul to God as the Source of all gifts, teaching every soul to go directly to God in prayer for themselves. | Resist the temptation of adulation. Humbly point every soul to God as the Source of all gifts |
| [Many Gifts for the Circle of Seven](messages/2018/01/2018-01-09-af-lotus-blossom.md) | Lotus Blossom | Al Fike | 2018‑01‑09 |  | Prophecy | Lotus Blossom addresses a circle of seven beloved souls, promising that gifts of spiritual perception are coming to each one in unique ways. sight of auras, perception of spirits, inner hearing, and deep intuitive knowing. She urges them to allow these gifts to unfold naturally without forcing or formulating them through the mind, to support one another, and to trust that each moment lived in harmony with God is already an expression of His Will. | Like a flower emerging from the ground, your gifts are budding. They will come, and they will come quickly |
| [Who Will Bring the Truth to This World?](messages/2018/01/2018-01-21-af-professor-salyards.md) | Professor Salyards | Al Fike | 2018‑01‑21 |  | Prophecy, Historical | Professor Salyards, a tireless worker in the development of Direct Voice mediumship, affirms the circle's progress and urges them to maintain their hopeful expectation of this gift. He speaks with urgency about humanity's need to awaken before the consequences of the human condition become irreversible, and assures them that even if Direct Voice is not achieved, they will bring Truth through other gifts - but that this gift is very much worth pursuing. | How will the world change if not by this awakening of the soul, the faculties of the soul, the connection of the soul to God? |
| [New Thresholds, New Life](messages/2018/01/2018-01-24-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2018‑01‑24 |  |  | Alec Gaunt speaks to a group all standing on the threshold of change, assuring them that each soul is moving forward in its own timing, propelled by God's Love and Will. He encourages them to embrace the unexpected, to meet challenges with courage, and to trust that life's constant movement and change is itself the mechanism of soul growth and service. | Life conspires to bring growth. It is not stale and static but full of movement and openings |
| [God's Love Awakens the Gifts of the Soul](messages/2018/01/2018-01-29-af-john-the-beloved.md) | John the Beloved | Al Fike | 2018‑01‑29 | Prism of the Soul, The Saints & Apostles Speak |  | John the Beloved teaches that within each soul God has planted a unique garden of gifts and potentials awaiting germination through the Light of Divine Love. He urges each soul to look within, honour its own unique beauty, and express its gifts freely rather than copying another, for as each soul's lantern is lit, it will draw and awaken others until the whole world is alight. | God has planted a whole universe within you. It takes only one prayer to begin bringing it alive |
| [Allow the Soul to Have Its Say](messages/2018/03/2018-03-02-af-andrew.md) | Andrew | Al Fike | 2018‑03‑02 | Mind & Soul, Letters from History, The Saints & Apostles Speak | Core Teaching, Spirit Biography | Andrew responds to the group's conversation about discernment and guidance, teaching that even sincere souls receive impressions coloured by their own condition, and that the soul's wisdom must be allowed to rise above the mind's calculations. He shares the remarkable personal account of his own journey from the Celestial Heavens to the Hells to help his brother Judas, and draws from it the lesson that listening to the soul's urgings rather than the mind's judgements brings the greatest blessings and the most good. | I could have left my brother in the darkness. Instead I listened to the yearnings of my soul, and I was blessed the most |
| [Knowing the Potentials of God's Love Is an Infinite Journey](messages/2018/03/2018-03-08-af-seretta-kem.md) | Seretta Kem | Al Fike | 2018‑03‑08 | Healing Path |  | Seretta Kem welcomes two new souls into the circle and speaks of the infinite unfolding of God's Love, teaching that even Celestial spirits continue to discover new wonders within it. He encourages those gathered to trust that their connection with God is unbreakable and ever-expanding, and that each soul carries unique gifts and purposes that will emerge as they grow in Love. | Even those in the Celestial Kingdom do not know all the wonders of God's Love. It continues to unfold for them as it does for you |
| [You Come Close to Your Soul's Awakening](messages/2018/03/2018-03-11-af-jesus.md) | Jesus of Nazareth | Al Fike | 2018‑03‑11 | Jesus Speaks |  | Jesus comes to bless those gathered, affirming their strength and commitment to bringing Truth to the world, reassuring them that their work has far-reaching effects they cannot see, and telling them they are drawing close to the realization of their true selves and the awakening of their souls. | You cannot see the far-reaching effects of your work. But the strength and love and faith of those like you brings hope to this world |
| [In God's Love You Have Found Your Sanctuary of Light](messages/2018/03/2018-03-13-af-jesus.md) | Jesus of Nazareth | Al Fike | 2018‑03‑13 | Jesus Speaks |  | Jesus pours out a blessing upon those gathered, affirming that God carries them in His embrace, that simple faith and prayer are all that is required to know God's guidance, and that in their service and humility they will find grace. He promises that the flow of Living Waters into their souls will become endless as they awaken, and that the work of bringing Love to a darkened world has already begun within them. | God does not limit you. God releases you. He releases your true self so that you may truly be that unique being that you are |
| [Become the Winds of Change](messages/2018/03/2018-03-26-af-james.md) | James | Al Fike | 2018‑03‑26 | Awakening Humanity, The Saints & Apostles Speak | Prophecy | James urges those gathered to feel the winds of change already moving in the world and to open themselves to God's Touch so that they may become part of that change. He speaks of storms coming that will bring what is required to uplift humanity, calls each soul to put aside doubt and fear and step forward in innocent faith, and invites all to accept God's invitation to Light, awakening, and the realization of their deepest potentials. | The winds of change are coming. Are you willing to accept what is coming with joy, and be the change that God wishes for all humanity to be? |
| [Sins of the Parents](messages/2018/04/2018-04-03-af-luke.md) | Luke | Al Fike | 2018‑04‑03 | Mind & Soul, The Saints & Apostles Speak | Core Teaching | Luke responds to a question about the biblical concept of sins being visited upon future generations, explaining in detail how conditions of fear, anger, confusion, and error are transmitted from parent to child beginning in the womb. He teaches that these inherited conditions accumulate over thousands of years of human history, but that the power of Divine Love is the great healer that can break the chain - washing through the soul, cleansing conditions, and empowering each soul to step out of the inherited darkness and into Light. | You chose Light. You chose to step away from the conditions so steadfast in your world. This is a testimony to the strength of your soul |
| [A Great Journey Awaits](messages/2018/05/2018-05-04-af-yogananda.md) | Yogananda | Al Fike | 2018‑05‑04 | Letters from History, Service & Mission |  | Yogananda speaks personally to one member of the circle, affirming that God has orchestrated every experience of his life to bring him to this point of readiness for service. He promises a great journey ahead - as teacher, healer, wanderer, and minstrel - drawing parallels to his own journey from India to America, and assuring this soul that many celestial helpers will accompany him as the path opens and revelation follows revelation. | Everything has led to this point. From this point many things will flow in harmony. You will not have to struggle to find your way - the path will open |
| [Walk in Harmony With God's Will](messages/2018/05/2018-05-09-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2018‑05‑09 | Mind & Soul, Letters from History | Core Teaching, Spirit Biography | Alec Gaunt teaches that knowing God's Will requires not effort and exertion but faith, peace, patience, and trust, and that life is a creative cooperation between human choice and God's Will rather than a preordained script. He draws on his own Earth life experience, confessing that he pushed too hard and passed into spirit sooner than he should have, urging those gathered to walk the fine line of balance between self-will and God's Will with greater patience and wisdom than he managed. | Life is not preordained. It is a cooperation between you and God - a creative flow that combines your choice and God's Will together in harmony |
| [Change Comes One Soul at a Time](messages/2018/05/2018-05-10-af-gandhi.md) | Mahatma Gandhi | Al Fike | 2018‑05‑10 | Awakening Humanity, Letters from History | Core Teaching, Spirit Biography | Gandhi responds to the group's contemplation of the world's darkness and inequities, teaching that true change in the world begins with the individual soul and its reconciliation with God. He draws on his own Earth life, speaking of how one step led to another as he followed God's guidance, and urges those gathered not to be overwhelmed by the complexity of the world's problems but to trust that their awakening souls will reveal the role they must play. | You look at all the dilemmas of this world and throw up your arms. But it is your awakened soul that will find the role you must play. One step at a time |
| [This Is a Place of Refuge](messages/2018/05/2018-05-11-af-augustine.md) | Augustine | Al Fike | 2018‑05‑11 | Service & Mission, The Saints & Apostles Speak |  | Augustine blesses a physical gathering place as a refuge ordained by God for many to come and receive His Love. He calls those gathered to continue opening their doors to all who seek solace and peace, to encourage others to pray and join their circles of Light, and to trust that all pain and heartache will fall away as the power of God's Love continues its deep healing work within them. | Open your doors. Let those who come feel the peace. In time they will carry this Light and create their own refuge wherever they are |
| [Law of Compensation: Natural Compared with the Divine Path](messages/2018/05/2018-05-12-af-luke.md) | Luke | Al Fike | 2018‑05‑12 | Two Paths, The Saints & Apostles Speak | Core Teaching | Luke delivers a detailed teaching on the Law of Compensation, explaining the two distinct ways in which the soul's accumulated conditions of darkness must be reconciled. On the natural love path, each condition must be consciously addressed one by one. On the Divine Love path, God's Essence acts as a powerful healing force that neutralizes these conditions reflexively, bringing forgetfulness rather than reliving. He contrasts the sixth sphere of natural love with the Celestial Kingdom, and teaches that at-onement with God is only possible through the Divine Love path. | The Law of Compensation insists that every dark condition in your soul be reconciled and brought to Light. Divine Love does this not consciously but as a reflexive response to God's Touch within you |
| [60/40 Soul Mind Guidance](messages/2018/05/2018-05-17-af-augustine.md) | Augustine | Al Fike | 2018‑05‑17 | Mind & Soul, The Saints & Apostles Speak | Core Teaching | Augustine clarifies a previous message in which he gave a 60/40 soul/mind ratio as guidance, explaining that the goal is not a fixed percentage but the dominance of soul consciousness over the mind - not replacing it. Using the metaphor of mixing yellow and red paint to make a sunset orange, he teaches that the soul and mind must work together with the soul as the predominant factor, and that this harmonious intermingling deepens perception, opens soul faculties, and brings a new way of being in the world. | The goal is not soul or mind. It is a beautiful orange - predominantly soul, but with the mind mixed in to create something harmonious and whole |
| [Make Arrangements to Come Together](messages/2018/05/2018-05-20-af-keea-atta-kem.md) | Keea Atta Kem | Al Fike | 2018‑05‑20 |  |  | Keea atta Kem encourages the circle to make concrete arrangements to come together physically, teaching that while individual spiritual development continues in each soul's daily life, there are gifts and awakenings that can only be forged when the group gathers in the flesh - for the spiritual melding of souls in physical proximity multiplies the possibilities of upliftment far beyond what is possible apart. | When you are together in love and harmony, sitting and praying in the flesh, the possibilities of awakening are far greater than when you are apart |
| [Awaken to the Greater Love](messages/2018/05/2018-05-21-af-matthew.md) | Matthew | Al Fike | 2018‑05‑21 | The Saints & Apostles Speak |  | Matthew opens with a prayer of blessing for those gathered, then affirms that each soul is drawn to seek the greater Love of God by the longings of the soul itself. He encourages those gathered to drink deeply of God's blessings in this moment of prayer, reminding them that God's Love is always available, never withheld, and that as the soul awakens it will come to know God in a rich and full understanding. | Those parts of you that have lain dormant for many years are now eager for the light of day. They come from your soul |
| [Live Each Day in the Flow of God's Will and Love for You](messages/2018/05/2018-05-28-af-andrew.md) | Andrew | Al Fike | 2018‑05‑28 | The Saints & Apostles Speak |  | Andrew blesses those gathered with the assurance that the world is opening to them, that God will carry them to many places to bring Light and Truth, and urges them to release all restrictions and concerns about the future and simply live each day in the flow of God's Will and Love. | Do not place before you any restrictions as to where God will take you. Live each day in the flow and beauty of His Will |
| [Be Part of the Plan for the Salvation of Mankind](messages/2018/05/2018-05-28-af-jesus.md) | Jesus of Nazareth | Al Fike | 2018‑05‑28 | Jesus Speaks |  | Jesus blesses those gathered, affirming that they are part of God's great plan for the salvation of mankind and a growing association of souls of Light that is coalescing into a movement to push back darkness. He assures them that each prayer to be used as an instrument of God's Will is answered, that each step forward brings them to a higher place of knowing, and that God's Hand is surely upon them and will never leave. | You just begin this journey. And yet already you are part of a great association of souls of Light coalescing into a movement that will push back the darkness |
| [Receiving the Love of God Brings Both Pain and Joy](messages/2018/05/2018-05-28-af-matthew.md) | Matthew | Al Fike | 2018‑05‑28 | Mind & Soul, The Saints & Apostles Speak | Core Teaching | Matthew traces the soul's journey from the natural awareness of childhood, through its burial under layers of conditioning, fear, and mental patterns, to the path back through prayer and emotional release. He teaches that the soul cannot be known through mental processes but only through heartfelt longing directed toward God, and that when the soul is finally allowed to open, waves of grief, longing, and desire will reach God and receive in return a healing and awakening beyond anything the mind can produce. | The innocent child knows its own soul naturally. Then the world buries it. Your whole spiritual journey is simply learning to find it again |
| [Transitioning from Mind to Soul](messages/2018/06/2018-06-04-af-augustine.md) | Augustine | Al Fike | 2018‑06‑04 | Mind & Soul, The Saints & Apostles Speak | Core Teaching | Augustine responds to a question by explaining the confusion and discomfort of the transition from mind-dominated to soul-dominated awareness. He teaches that within each person are two minds - one of the soul and one of the material mind - and that as the soul grows stronger, conflict arises in the in-between place where they collide. He urges those gathered to recognize this conflict as a sign of readiness, not failure, and to take the leap of faith toward soul dominance that God is inviting them to make. | The soul is stronger. The soul knows. And the soul needs to forge ahead - to realize its purpose in this life, and to serve God in Love |
| [The Blessing of a Shield of Light](messages/2018/06/2018-06-06-af-jesus.md) | Jesus of Nazareth | Al Fike | 2018‑06‑06 | Jesus Speaks |  | Jesus announces that each member of the circle has received a unique blessing of a shield of white and golden Light from God, enveloping and protecting them as they carry Light into the world. He assures them this gift will never leave them but will grow and expand with each prayer and act of service, helping them to be in the world but not of the world, and enabling the angels to work through them more effectively. | You have each received a unique blessing - a shield of Light that envelops you. It will never leave you, and it will grow |
| [Seek to Know God Through Love](messages/2018/06/2018-06-09-af-john-the-beloved.md) | John the Beloved | Al Fike | 2018‑06‑09 | The Saints & Apostles Speak | Core Teaching | John the Beloved speaks to a gathering that includes seekers from afar, teaching that just as bees seek nectar, the soul longs for God's Love to sustain it. He calls those gathered to lay down the preconceptions of the mind and allow God to touch the soul directly, promising that as the soul awakens in Love, even the mind will be satisfied and appeased by the Truths that emerge. He closes with God's personal invitation to each soul: will you accept my Love? | 'God places His Hand upon you and asks: Will you accept my Love? Even when your soul truly knows me, I shall continue to bless you' |
| [All Truth Begins with the Soul Awakened in Love](messages/2018/06/2018-06-09-af-john-wesley.md) | John Wesley | Al Fike | 2018‑06‑09 | Letters from History, Mind & Soul, Awakening Humanity | Core Teaching, Historical, Spirit Biography | John Wesley, founder of Methodism and now an inhabitant of the Celestial Kingdom, speaks urgently about humanity's need to awaken from the illusions of the mind before it is too late. He teaches that the material mind cannot solve the great dilemmas of humanity, that all truth begins with Love, and that only the soul awakened in Divine Love can truly perceive God's Creation and become an instrument of change in the world. | All Truth begins with Love. For Love is what makes the universe what it is. It brings life |
| [The Soul Longs for the Touch of God](messages/2018/06/2018-06-09-af-matthew.md) | Matthew | Al Fike | 2018‑06‑09 | Mind & Soul, The Saints & Apostles Speak |  | Matthew speaks to a gathering that includes newcomers, teaching that though each person may have a different mental explanation for why they have come, the truth is that the soul itself has drawn them - quietly seeking the Source of all, compelled by a longing so deep the mind often cannot name it. He urges those gathered to recognize this longing, nurture it consciously in prayer, and trust that seeking God above all else will bring every other blessing in its wake. | The soul seeks until it finds. It quietly goes about its business, seeking the Source of all. And it has brought you here |
| [The Reality of the Soul Can Be Merged with the Mind](messages/2018/06/2018-06-18-af-matthew.md) | Matthew | Al Fike | 2018‑06‑18 | Mind & Soul, The Saints & Apostles Speak | Core Teaching | Matthew teaches that within each person are two minds - the material mind and the soul mind - each perceiving a different reality. The material mind is shaped by the thought conditions of the world and the five senses, while the soul mind is ignited and sustained by Divine Love. He calls those gathered to be scientists of the soul, accepting the challenge of merging these two realities into a new and more complete perception of God's Creation - and assures them that the veil will lift and the true reality will take form as the soul continues to awaken. | You are scientists of the soul, discovering its mysteries. The vanguards of a new dawn of Love and Truth that God intends for this world |
| [Seek Humility and Compassion for Self and Others](messages/2018/06/2018-06-24-af-luke.md) | Luke | Al Fike | 2018‑06‑24 | Mind & Soul, Healing Path, The Saints & Apostles Speak | Core Teaching | Luke responds to a question from one in the circle, delivering a searching and compassionate teaching on judgment, humility, and the courage required for radical self-honesty. He teaches that when we perceive error in another and respond with judgment rather than compassion, we are falling into the mind's patterns of superiority - and that the path forward requires deep honesty about our own conditions, the willingness to bare our hearts to one another, and trust that God's Love will heal everything we are willing to bring to Him. | When another hurts you, the most powerful response is forgiveness. When you react intensely to another's behaviour, that condition lives in you too - and their gift is to show you |
| [Release Judgment, Embrace Love](messages/2018/06/2018-06-26-af-matthew.md) | Matthew | Al Fike | 2018‑06‑26 | Mind & Soul, Healing Path, The Saints & Apostles Speak | Core Teaching | Matthew continues the theme of Luke's previous message, teaching that beneath judgment and anger almost always lies a deep hurt of feeling unloved and unrecognized. He teaches that authentic love cannot be performed while carrying hidden resentment, that this gap between surface and inner reality is why the world is so dark, and that each day God places before each soul the test and opportunity to choose love over the old patterns of the mind - one rung at a time up the ladder of Light. | You will know when you have passed the test. When you gaze upon one who has challenged you and find love, compassion, and forgiveness - you have become stronger in Light |
| [A Blessing from Mary](messages/2018/07/2018-07-02-af-mary.md) | Mary | Al Fike | 2018‑07‑02 | The Saints & Apostles Speak |  | Mary blesses those gathered who carry responsibilities for the elderly, children, and those who are weak, promising to be with them as they serve. She calls them to drink deeply from the living waters of God's Love in prayer, to carry one another, and to trust that God's supply of Love is unlimited and available to all who simply ask with a humble, clear longing from the soul. | So much can be given with a simple, humble, clear longing from your soul. Merely ask |
| [Angels Accompany All Who Seek God's Love](messages/2018/07/2018-07-07-af-aaron.md) | Aaron | Al Fike | 2018‑07‑07 |  |  | Aaron, the biblical High Priest and brother of Moses, blesses a gathering that appears to include a birthday or special celebration, affirming that God's Hand rests upon all who seek Light and that angels accompany every soul who desires Truth and Love. He calls those gathered to express love freely in everything they do, to seek God with each day, and to trust that no one who seeks God's Love is ever alone. | For those who seek this truth of love, you shall always be accompanied by an angel who will protect and guide, teach and inspire |
| [Choose to Awaken Your Soul Through Prayer for Divine Love](messages/2018/07/2018-07-08-af-andrew.md) | Andrew | Al Fike | 2018‑07‑08 | The Saints & Apostles Speak |  | Andrew, identifying himself as Al Fike's guide of many years, blesses a gathering at the First United Spiritualist Church in Burnaby, inviting those present to open themselves to the gift of Divine Love. He teaches that this Love surrounds every soul but can only enter with an invitation, and that each earnest prayer and longing builds the eternal flame within the soul, awakening many gifts and aspects of the true self. | This Love is all around you. It only needs an opening - a desire, a prayer - to come within you |
| [Soul Awakening](messages/2018/07/2018-07-09-af-mary.md) | Mary | Al Fike | 2018‑07‑09 | The Saints & Apostles Speak |  | Mary pours out a blessing of encouragement upon those gathered in their sanctuary, affirming that with each day a little piece of darkness falls away and greater Light enters. She calls them to allow God to direct their path rather than following mindful ideals, promising that as the soul awakens they will see more clearly how God guides them in service - and that they are learning to be one of God's angels in this world. | Allowing God to direct you is a profound act of humility and faith. Allow Him to guide you forth and bring you upon those shores where hungering souls await |
| [Awakening of Your Gifts Requires God's Love, Faith and Timing](messages/2018/07/2018-07-13-af-keea-atta-kem.md) | Keea Atta Kem | Al Fike | 2018‑07‑13 | Prism of the Soul |  | Keea atta Kem teaches that as souls gather and build light together, God is able to use this collective energy to bring blessings to those connected to them - including souls who long without knowing it. She cautions against the mind's eagerness and ambition interfering with soul gift development, teaching that gifts must unfold in harmony with God's timing and Will, and that the feeling of harmony within is the reliable guide for knowing when one is in the right flow. | You only see the tip of the iceberg. As you pray together, you activate blessings going out to many others whose souls are longing - though their minds may not know it |
| [Soul Expiation Through Pursuit of Truth, Release of Error](messages/2018/07/2018-07-14-af-seretta-kem.md) | Seretta Kem | Al Fike | 2018‑07‑14 | Healing Path | Core Teaching | Seretta Kem delivers a compassionate teaching on the rhythm of soul expiation, explaining that the journey of soul awakening alternates between times of great joy and times when hidden conditions rise to the surface to be released. He teaches that the difficult times are when the greatest progress is made, that the angels act as midwives in this process, and that the new birth of the soul - though it brings pain and heartache - leads to a permanent joy and peace that is not dependent on outer conditions. | When you look back upon your lives, you will feel as much gratitude for the difficult times as for the times of joy. It is in the difficult times that the greatest progress is made |
| [Your Efforts Are Blessed Ten Times Over](messages/2018/07/2018-07-15-af-augustine.md) | Augustine | Al Fike | 2018‑07‑15 | Service & Mission, The Saints & Apostles Speak |  | Augustine encourages all who have committed to bringing the Truth of God's Love to the world, assuring them that even the smallest effort is blessed ten times over by God. He calls them not to judge those who mix error with truth in their service, affirms the power of the bonds of love in the community, and urges them to be open and vulnerable with one another, for this engenders more love and light. | Any small effort you make, even in prayer, is blessed ten times over by God. This is the generosity of God's Love for you |
| [Forgiveness](messages/2018/07/2018-07-16-af-andrew.md) | Andrew | Al Fike | 2018‑07‑16 | Healing Path, The Saints & Apostles Speak | Core Teaching | Andrew delivers a thorough teaching on forgiveness as one of the most important aspects of soul growth, teaching that the act of releasing others who have trespassed against you is a direct measure of the soul's progression in Divine Love. He teaches that as God infills the soul with His Love, the urge to forgive comes reflexively, that forgiveness and compassion come together in true soul awakening, and that holding on to resentment and judgment holds the soul's progression back. | Even a measure of forgiveness, no matter how small, is greater than all good deeds done in this world. It is the power of your decision from the soul to truly forgive that will change the world |
| [Be Brothers and Sisters in Love](messages/2018/07/2018-07-17-af-mary.md) | Mary | Al Fike | 2018‑07‑17 | The Saints & Apostles Speak |  | Mary addresses a gathering of beloved daughters, urging them to strengthen the bonds of love amongst them and to resist the mind's tendency to create distance and judgment. She teaches that love grows exponentially when souls gather in unity, that loving oneself is the prerequisite for loving others, and that the world will see the power of God's Love made real through the harmony and unity of those who carry it. | You cannot love others more than you love yourself. Love flows outward in proportion to the love you carry within |
| [You Walk the Path of Love](messages/2018/07/2018-07-18-af-confucius.md) | Confucius | Al Fike | 2018‑07‑18 |  |  | Confucius opens with a tender image of souls flocking together like birds in God's Light, affirming that wherever they go God opens doors for them to share their stories of Love. He assures them that their souls committed to this path before birth, that God has carried them all their lives, and that as they continue to pray and reach upward, their wings will spread and their joy will rise ever higher into the ecstasy of God's Love. | My little birds, you will fly into the light of His Love, rising ever higher and higher, knowing the joy and the ecstasy of His Touch |
| [Death Can Be a Joyful Transitioning to Spirit](messages/2018/07/2018-07-19-af-matthew.md) | Matthew | Al Fike | 2018‑07‑19 | Mind & Soul, The Saints & Apostles Speak | Core Teaching | Matthew teaches that death is not an ending but a seamless and celebrated transition to the next phase of an eternal journey, and that fear of death arises from the mind's reliance on the five senses rather than the soul's deeper knowing. He traces the soul's eternal progression through the spirit spheres, teaching that Divine Love expands every faculty and gift of the soul without limit, propelling it toward ever-deeper at-onement with God. | The transition to the world of spirit will be celebrated — a changing of the conditions in which a soul lives and operates. It is nothing more than this |
| [Release Mind Patterns](messages/2018/07/2018-07-22-af-seretta-kem.md) | Seretta Kem | Al Fike | 2018‑07‑22 | Mind & Soul | Core Teaching | Seretta Kem delivers a searching teaching on the deeply ingrained thought patterns and habits of the mind that obstruct the soul's full expression of Love. He traces these patterns to childhood conditioning, explains how self-judgment compounds them, and teaches that only the combined power of disciplined awareness, prayer, and God's Touch can melt them away — freeing each soul to become a true and unobstructed channel of Divine Love in the world. | Are you willing to truly live this Love — not in half measure, not in three quarters measure, but in full measure? |
| [Prayer](messages/2018/07/2018-07-30-af-keea-atta-kem.md) | Keea Atta Kem | Al Fike | 2018‑07‑30 |  | Core Teaching | Keea Atta Kem delivers a comprehensive teaching on prayer as the primary vehicle of the Divine Love path, the language of the soul and the act of faith that opens a thread of light to God. She teaches that prayer need not be long or complicated, only heartfelt and soul-directed, and that as Divine Love accumulates within the soul, prayer becomes easier, awareness deepens, and the conscious knowing of God's presence grows. | Prayer is your vehicle. Prayer opens the door. Prayer is the language of the soul |
| [The Awakening Soul](messages/2018/07/2018-07-30-mc-augustine.md) | Augustine | Maureen Cardoso | 2018‑07‑30 | Mind & Soul, The Saints & Apostles Speak |  | Augustine teaches that as Divine Love accumulates drop by drop in the soul through sincere prayer and longing, the soul awakens — cleansing conditions that once clung to it and replacing them with God's permanent Essence. He describes the harmonization that gradually emerges between the awakening soul and the material mind, and calls each listener to give their soul a voice, trusting that as the soul grows stronger it will transform how they see, speak, and move through the world. | You see with the eyes of your soul-love, you speak with the words of your soul-love, you touch with the gentleness of your soul in love |
| [A Special Blessing Given](messages/2018/07/2018-07-31-af-confucius.md) | Confucius | Al Fike | 2018‑07‑31 |  |  | Confucius blesses a group preparing to go out into the world, assuring them they are protected, that many doors are opening, and that a special gift is given at this moment to strengthen and propel them on their path. He promises that as they carry the Truth beyond the measure of their own lives, they will quench the thirst of many souls. | Many, many doors are opening. Walk willingly into this lighted passage of service and many blessings and miracles will follow in your stead |
| [You Are at a Turning Point in Your Service to God](messages/2018/07/2018-07-31-af-jesus.md) | Jesus | Al Fike | 2018‑07‑31 | Jesus Speaks |  | Jesus affirms a group of disciples that they stand at a turning point in their service to God, assuring them that the momentum they feel is real and that many roads are about to open. He calls them to allow their souls to feel the excitement of what is coming, to walk in faith, and to trust that each day will bring renewed opportunities and more powerful experiences of service as channels of love in the world. | Do you not feel the momentum building? Do you not feel the excitement within your souls as each day brings new blessings and new possibilities? |
| [Every Soul Is Unique and Flowers in the Truth of God's Love](messages/2018/08/2018-08-01-af-andrew.md) | Andrew | Al Fike | 2018‑08‑01 | The Saints & Apostles Speak |  | Andrew teaches that souls from every religious tradition who receive God's Love find their way to the Celestial Heavens, where each shines as a unique and magnificent flower in God's garden. He calls the circle to accept all seekers with love and embrace, to express their own unique soul truth with joy and confidence, and to trust that every soul which longs for God will find its way to Him in time. | When you come to the Celestial Heavens, you will see how each individual is like a magnificent flower in God's garden, unique and beautiful |
| [The Choice to Know God Is Yours to Take](messages/2018/08/2018-08-05-af-mark.md) | Mark | Al Fike | 2018‑08‑05 | The Saints & Apostles Speak |  | Mark, who identifies himself as guardian of the First United Spiritualist Church in Burnaby, speaks to a congregation of seekers about the soul's deep longing for God and the choice each soul must make to walk toward that longing. He teaches that every soul has a guardian angel, that God cannot compel a soul to pray but waits for its free choice, and that through prayer each soul may come to know the immeasurable Love that God holds for it. | God cannot beseech a soul to pray towards Him. God can only wait for your choice |
